RangeStart,RangeEnd,Original
0x8e98,0x907d,0x1652
0x8ea8,0x908d,0x1652
0x8ebd,0x90a2,0x1652
0x8f99,0x917e,0x165f
0x8fa2,0x9187,0x1663
0x907d,0x927f,0x1157
0x908e,0x9290,0x1157
0x909e,0x92a0,0x1157
0x926d,0x946f,0x1157
0x927f,0x9482,0x1547
0x9299,0x949c,0x1547
0x92a1,0x94a4,0x1547
0x92a8,0x94ab,0x1547
0x9467,0x966a,0x1547
0x9482,0x969e,0x1599
0x949c,0x96b8,0x1599
0x94a4,0x96c0,0x1599
0x9522,0x973e,0x1599
0x9683,0x989f,0x1599
0x969e,0x98ff,0x1964
0x96af,0x9910,0x1964
0x96d3,0x9934,0x1964
0x9831,0x9a92,0x1971
0x983f,0x9aa0,0x197b
0x9882,0x9ae3,0x198a
0x9890,0x9af1,0x1995
0x9899,0x9afa,0x199e
0x98d1,0x9b32,0x19aa
0x98d6,0x9b37,0x19aa
0x98db,0x9b3c,0x19aa
0x98e0,0x9b41,0x19aa
0x98e5,0x9b46,0x19aa
0x98e8,0x9b49,0x19aa
0x98ff,0x9b68,0x1127
0x990e,0x9b77,0x1127
0x9913,0x9b7c,0x1127
0x9b54,0x9dbd,0x1127
0x9b68,0x9dd9,0x156f
0x9b82,0x9df3,0x156f
0x9b8a,0x9dfb,0x156f
0x9b92,0x9e03,0x156f
0x9b9c,0x9e0d,0x156f
0x9ba4,0x9e15,0x156f
0x9c2d,0x9e9e,0x156f
0x9c35,0x9ea6,0x156f
0x9cd2,0x9f43,0x156f
0x9dbb,0xa02c,0x156f
0x9dd9,0xa074,0x15bb
0x9def,0xa08a,0x15bb
0xa05d,0xa2f8,0x15bb
0xa074,0xa310,0x155b
0xa084,0xa320,0x155b
0xa091,0xa32d,0x155b
0xa1ca,0xa466,0x155b
0xa2f5,0xa591,0x155b
0xa310,0xa5da,0x1d56
0xa329,0xa5f3,0x1d56
0xa331,0xa5fb,0x1d56
0xa5da,0xa8af,0x1676
0xa5ea,0xa8bf,0x1676
0xa5fa,0xa8cf,0x1676
0xa6aa,0xa97f,0x1681
0xa6b5,0xa98a,0x1685
0xa7fc,0xaad1,0x1691
0xa891,0xab66,0x1685
0xa899,0xab6e,0x1691
0xa8af,0xab84,0x12c5
0xa8c0,0xab95,0x12c5
0xa8c8,0xab9d,0x12c5
0xab6f,0xae44,0x12c5
0xab84,0xae5c,0x1800
0xab92,0xae6a,0x1800
0xab97,0xae6f,0x1800
0xae5c,0xb137,0x1074
0xae6d,0xb148,0x1074
0xae89,0xb164,0x1074
0xb137,0xb41c,0x117c
0xb148,0xb42d,0x117c
0xb41c,0xb71e,0x156b
0xb432,0xb734,0x156b
0xb45f,0xb761,0x156b
0xb704,0xba06,0x156b
0xb71e,0xba5b,0x11e7
0xb72f,0xba6c,0x11e7
0xb74a,0xba87,0x11e7
0xba49,0xbd86,0x11e7
0xba5b,0xbdc4,0x1a66
0xba6d,0xbdd6,0x1a66
0xba84,0xbded,0x1a66
0xbbc4,0xbf2d,0x1a88
0xbbcd,0xbf36,0x1a8d
0xbbd5,0xbf3e,0x1a8d
0xbcca,0xc033,0x1a76
0xbcdc,0xc045,0x1a7e
0xbd81,0xc0ea,0x1a84
0xbdbf,0xc128,0x1a84
0xbdc4,0xc1aa,0x19ce
0xbdd3,0xc1b9,0x19ce
0xbdea,0xc1d0,0x19ce
0xbdfe,0xc1e4,0x19dc
0xbe08,0xc1ee,0x19e2
0xbe42,0xc228,0x19f0
0xbe4e,0xc234,0x19f8
0xbe53,0xc239,0x19f8
0xbf49,0xc32f,0x19f8
0xbf51,0xc337,0x19f8
0xbf59,0xc33f,0x1a05
0xc191,0xc577,0x1a05
0xc1aa,0xc5b1,0x12fb
0xc1bb,0xc5c2,0x12fb
0xc1cb,0xc5d2,0x12fb
0xc278,0xc67f,0x12fb
0xc279,0xc680,0x12fb
0xc59c,0xc9a3,0x12fb
0xc5b1,0xc9d2,0x10f8
0xc5c5,0xc9e6,0x10f8
0xc5e2,0xca03,0x10f8
0xc9bd,0xcdde,0x10f8
0xc9d2,0xce9b,0x17d4
0xc9e3,0xceac,0x17d4
0xc9f9,0xcec2,0x17d4
0xce9b,0xd442,0x1a2a
0xcead,0xd454,0x1a2a
0xcec9,0xd470,0x1a2a
0xd1a9,0xd750,0x1a4c
0xd1b2,0xd759,0x1a51
0xd1b8,0xd75f,0x1a51
0xd331,0xd8d8,0x1a3a
0xd344,0xd8eb,0x1a42
0xd421,0xd9c8,0x1a48
0xd43a,0xd9e1,0x1a48
0xd442,0xda0f,0x14f0
0xd456,0xda23,0x14f0
0xd477,0xda44,0x14f0
0xd47f,0xda4c,0x14f4
0xd6d1,0xdc9e,0x14fb
0xd7cb,0xdd98,0x1509
0xd7d8,0xdda5,0x1509
0xd821,0xddee,0x14fb
0xd82b,0xddf8,0x150d
0xd944,0xdf11,0x1516
0xda04,0xdfd1,0x151f
0xda0f,0xe01c,0x16a2
0xda1f,0xe02c,0x16a2
0xda31,0xe03e,0x16a2
0xdac1,0xe0ce,0x16af
0xdac6,0xe0d3,0x16af
0xddbc,0xe3c9,0x16c5
0xde5a,0xe467,0x16b6
0xe01c,0xe655,0x128e
0xe02e,0xe667,0x128e
0xe043,0xe67c,0x128e
0xe638,0xec71,0x128e
0xe655,0xecba,0x154b
0xe665,0xecca,0x154b
0xe677,0xecdc,0x154b
0xe9a1,0xf006,0x154b
0xec99,0xf2fe,0x154b
0xecba,0xf359,0x1133
0xecce,0xf36d,0x1133
0xece3,0xf382,0x1133
0xf344,0xf9e3,0x1133
0xf359,0xfa15,0x1212
0xf36d,0xfa29,0x1212
0xf389,0xfa45,0x1212
0xfa00,0x100bc,0x1212
0xfa15,0x10100,0x133a
0xfa28,0x10113,0x133a
0xfa40,0x1012b,0x133a
0x10100,0x10855,0x102b
0x10111,0x10866,0x102b
0x1013d,0x10892,0x102b
0x10855,0x11233,0x10c6
0x10868,0x11246,0x10c6
0x10883,0x11261,0x10c6
0x1121a,0x11bf8,0x10c6
0x11233,0x121e2,0x1444
0x11244,0x121f3,0x1444
0x11276,0x12225,0x1444
0x113e6,0x12395,0x1456
0x11588,0x12537,0x146c
0x121c0,0x1316f,0x1456
0x121e2,0x13a00,0x16fd
0x121f4,0x13a12,0x16fd
0x12206,0x13a24,0x16fd
0x122fa,0x13b18,0x1713
0x13420,0x14c3e,0x1787
0x139af,0x151cd,0x1787
0x13a00,0x1531e,0x1aa7
0x13a11,0x1532f,0x1aa7
0x13a19,0x15337,0x1aa7
0x13a52,0x15370,0x1aa7
0x13a5c,0x1537a,0x1aa7
0x13b0b,0x15429,0x1aa7
0x13b1a,0x15438,0x1aa7
0x13bb7,0x154d5,0x1af1
0x13f77,0x15895,0x1b10
0x13f84,0x158a2,0x1b17
0x13f91,0x158af,0x1b1e
0x13fc9,0x158e7,0x1b28
0x13fe2,0x15900,0x1b38
0x13ff1,0x1590f,0x1b38
0x142db,0x15bf9,0x1b53
0x14326,0x15c44,0x1b60
0x1433d,0x15c5b,0x1b60
0x1434e,0x15c6c,0x1b60
0x143d0,0x15cee,0x1b7c
0x14489,0x15da7,0x1b86
0x1468a,0x15fa8,0x1ba1
0x147ea,0x16108,0x1bb9
0x147f5,0x16113,0x1bbf
0x1481c,0x1613a,0x1bbf
0x14824,0x16142,0x1bbf
0x148d0,0x161ee,0x1bdb
0x14ae8,0x16406,0x1bfa
0x14c64,0x16582,0x1c1a
0x14cb9,0x165d7,0x1c25
0x14f2d,0x1684b,0x1c32
0x15119,0x16a37,0x1b4c
0x1512f,0x16a4d,0x1b38
0x15148,0x16a66,0x1b38
0x15161,0x16a7f,0x1b38
0x1517a,0x16a98,0x1b4c
0x1518b,0x16aa9,0x1b4c
0x15195,0x16ab3,0x1b4c
0x152dc,0x16bfa,0x1b86
0x152f8,0x16c16,0x1b86
0x1531e,0x16fb1,0x1825
0x15330,0x16fc3,0x1825
0x15358,0x16feb,0x1825
0x15564,0x171f7,0x1836
0x15568,0x171fb,0x183a
0x15e71,0x17b04,0x187e
0x1612a,0x17dbd,0x18ba
0x167a9,0x1843c,0x193a
0x167b7,0x1844a,0x193f
0x16d9f,0x18a32,0x1947
0x16f99,0x18c2c,0x18ba
0x16fb1,0x18db2,0x1371
0x16fc5,0x18dc6,0x1371
0x16fdc,0x18ddd,0x1371
0x170aa,0x18eab,0x1380
0x170ae,0x18eaf,0x1387
